,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,Coordinates,Adress
84,169,38.74808,-9.1413,10,"38.74808, -9.1413","59, Avenida de Roma, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-342, Portugal"
85,169,38.75327,-9.1441,11,"38.75327, -9.1441","Millennium bcp, 4 C, Praça de Alvalade, São João de Brito, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-035, Portugal"
86,169,38.76016,-9.15788,12,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
87,169,38.76017,-9.16609,13,"38.76017, -9.16609","Telheiras, Rua Professor Francisco Gentil, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-235 LUMIAR, Portugal"
88,170,38.734,-9.15365,1,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
89,170,38.73483,-9.14528,2,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
90,170,38.73696,-9.13389,3,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
91,170,38.74019,-9.12297,4,"38.74019, -9.12297","Clube de Rugby do Técnico, Rua de Olivença, Olaias, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1900-064, Portugal"
92,170,38.7476,-9.11772,5,"38.7476, -9.11772","Bela Vista, Avenida da Ucrânia, Chelas, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-340, Portugal"
93,170,38.75475,-9.11404,6,"38.75475, -9.11404","Avenida Doutor Augusto de Castro, Bairro das Amendoeiras, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-002, Portugal"
94,170,38.76084,-9.11185,7,"38.76084, -9.11185","Rua Cidade de Bissau, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-088, Portugal"
95,170,38.76294,-9.10518,8,"38.76294, -9.10518","LSB-00148, 9, Avenida de Pádua, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800, Portugal"
96,170,38.76786,-9.09973,9,"38.76786, -9.09973","Estação do Oriente, Avenida de Berlim, Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-038, Portugal"
97,170,38.77496,-9.10304,10,"38.77496, -9.10304","Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1885-031, Portugal"
98,170,38.77499,-9.11538,11,"38.77499, -9.11538","Encarnação, Rua General Silva Freire, Olivais Norte, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1849-028, Portugal"
99,170,38.76862,-9.12833,12,"38.76862, -9.12833","Aeroporto, Access to Metro 'Aeroporto', Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-008, Portugal"
